; KTTD labels
"B" N045.32.55.240 W122.24.33.537 twyrwy_labels
"B1" N045.32.55.183 W122.24.41.503 twyrwy_labels
"B2" N045.32.55.427 W122.24.27.811 twyrwy_labels
"B4" N045.32.55.684 W122.24.05.004 twyrwy_labels
"B6" N045.32.55.859 W122.23.49.448 twyrwy_labels
"B" N045.32.55.948 W122.23.41.557 twyrwy_labels
"B7" N045.32.56.032 W122.23.36.971 twyrwy_labels
"B8" N045.32.56.107 W122.23.27.416 twyrwy_labels
"A8" N045.33.00.035 W122.23.27.491 twyrwy_labels
"A7" N045.32.59.927 W122.23.37.091 twyrwy_labels
"A6" N045.32.59.817 W122.23.49.687 twyrwy_labels
"A4" N045.32.59.584 W122.24.05.029 twyrwy_labels
"A3" N045.32.59.315 W122.24.14.099 twyrwy_labels
"A2" N045.32.59.159 W122.24.27.972 twyrwy_labels
"A1" N045.32.59.036 W122.24.41.789 twyrwy_labels
"A" N045.32.59.453 W122.24.34.053 twyrwy_labels
"A" N045.32.59.785 W122.24.08.409 twyrwy_labels
"A" N045.32.59.946 W122.23.54.099 twyrwy_labels
"A" N045.33.00.183 W122.23.33.077 twyrwy_labels
"FUEL" N045.33.08.157 W122.23.28.029 building_labels
"TWR" N045.33.02.433 W122.23.58.178 building_labels
"PARK" N045.33.01.940 W122.23.50.064 ramp_labels
"SRAMP" N045.32.53.573 W122.23.50.915 ramp_labels
