; KUAO labels
"17" N045.15.23.612 W122.46.07.292 twyrwy_labels
"35" N045.14.15.445 W122.46.19.628 twyrwy_labels
"A1" N045.15.13.734 W122.46.06.301 twyrwy_labels
"A2" N045.15.04.237 W122.46.08.077 twyrwy_labels
"A3" N045.14.48.730 W122.46.10.757 twyrwy_labels
"A4" N045.14.33.934 W122.46.13.328 twyrwy_labels
"A5" N045.14.25.219 W122.46.15.168 twyrwy_labels
"A" N045.14.28.031 W122.46.12.161 twyrwy_labels
"A" N045.14.44.774 W122.46.09.248 twyrwy_labels
"A" N045.14.55.728 W122.46.07.251 twyrwy_labels
"A" N045.15.08.016 W122.46.05.163 twyrwy_labels
"Columbia" N045.14.51.355 W122.45.56.538 building_labels
"Aurora Aviation" N045.15.01.940 W122.45.55.398 building_labels
"TWR" N045.14.56.907 W122.46.04.618 building_labels
"Lynx" N045.14.31.531 W122.46.08.907 building_labels
"Keystone" N045.14.44.763 W122.46.07.719 building_labels
