; KYKM labels
"27" N046.33.52.913 W120.31.43.325 twyrwy_labels
"9" N046.34.23.171 W120.33.49.042 twyrwy_labels
"A5" N046.34.22.131 W120.33.33.541 twyrwy_labels
"A4" N046.34.19.002 W120.33.20.453 twyrwy_labels
"A3" N046.34.13.622 W120.32.59.059 twyrwy_labels
"A2" N046.34.07.324 W120.32.33.078 twyrwy_labels
"A1" N046.33.57.589 W120.31.53.895 twyrwy_labels
"C" N046.34.05.693 W120.32.03.456 twyrwy_labels
"A" N046.34.01.302 W120.31.59.312 twyrwy_labels
"B" N046.34.07.576 W120.31.56.448 twyrwy_labels
"B" N046.34.09.016 W120.32.14.874 twyrwy_labels
"B" N046.34.00.265 W120.32.36.642 twyrwy_labels
"B2" N046.33.51.520 W120.32.54.062 twyrwy_labels
"B1" N046.33.57.312 W120.32.39.250 twyrwy_labels
"A" N046.34.12.532 W120.32.43.932 twyrwy_labels
"A" N046.34.19.925 W120.33.13.308 twyrwy_labels
"C" N046.33.49.467 W120.32.03.628 twyrwy_labels
"22" N046.34.13.451 W120.31.55.169 twyrwy_labels
"4" N046.33.46.940 W120.33.03.936 twyrwy_labels
"East" N046.34.11.406 W120.32.17.986 ramp_labels
"West" N046.34.13.388 W120.32.36.581 ramp_labels
"Terminal" N046.34.14.580 W120.32.25.831 building_labels
"TWR" N046.34.14.706 W120.32.18.286 building_labels
"McCormick" N046.34.14.789 W120.32.14.980 building_labels
