; GEG gates
"A11" 047.37.32.088 W117.32.06.469 gate_labels
"A12" N047.37.31.610 W117.32.05.025 gate_labels
"A13" N047.37.32.055 W117.32.04.430 gate_labels
"A14" N047.37.31.615 W117.32.04.465 gate_labels
"B1B N047.37.29.965 W117.32.09.445 gate_labels
"B7" N047.37.27.315 W117.32.09.525 gate_labels
"B5" N047.37.28.260 W117.32.09.625 gate_labels
"C30" N047.37.25.005 W117.32.21.205 gate_labels
"C31" N047.37.24.955 W117.32.21.215 gate_labels
; PAE gates
"A1" N047.54.29.985 W122.16.42.865 gate_labels
"A2" N047.54.30.945 W122.16.44.300 gate_labels
"A3" N047.54.31.790 W122.16.45.685 gate_labels
; PDX Gates
"A1" N045.35.14.045 W122.35.34.520 gate_labels
"A2" N045.35.13.095 W122.35.33.580 gate_labels
"A3" N045.35.11.935 W122.35.33.060 gate_labels
"A4" N045.35.10.535 W122.35.32.055 gate_labels
"A6" N045.35.09.730 W122.35.30.550 gate_labels
"A8" N045.35.08.700 W122.35.28.775 gate_labels
"A9" N045.35.08.145 W122.35.27.325 gate_labels
"A10" N045.35.07.625 W122.35.25.815 gate_labels
"A11" N045.35.07.099 W122.35.24.490 gate_labels
"A12" N045.35.06.475 W122.35.22.940 gate_labels
"A13" N045.35.05.880 W122.35.21.455 gate_labels
"A14" N045.35.05.230 W122.35.19.915 gate_labels
"B1" N045.35.16.480 W122.35.38.520 gate_labels
"B2" N045.35.16.000 W122.35.37.300 gate_labels
"B3" N045.35.15.435 W122.35.35.855 gate_labels
"C1" N045.35.17.250 W122.35.40.605 gate_labels
"C2" N045.35.18.615 W122.35.42.070 gate_labels
"C3" N045.35.18.030 W122.35.42.530 gate_labels
"C4" N045.35.19.395 W122.35.43.950 gate_labels
"C5" N045.35.18.545 W122.35.43.915 gate_labels
"C6" N045.35.19.970 W122.35.45.700 gate_labels
"C7" N045.35.19.194 W122.35.45.590 gate_labels
"C8" N045.35.20.780 W122.35.47.715 gate_labels
"C9" N045.35.20.194 W122.35.48.300 gate_labels
"C10" N045.35.21.675 W122.35.49.830 gate_labels
"C11" N045.35.20.735 W122.35.49.700 gate_labels
"C12" N045.35.22.370 W122.35.51.635 gate_labels
"C13" N045.35.21.435 W122.35.51.560 gate_labels
"C14" N045.35.23.100 W122.35.53.500 gate_labels
"C15" N045.35.22.205 W122.35.53.615 gate_labels
"C16" N045.35.23.785 W122.35.55.225 gate_labels
"C17" N045.35.22.965 W122.35.55.600 gate_labels
"C18" N045.35.24.370 W122.35.56.735 gate_labels
"C19" N045.35.23.535 W122.35.57.035 gate_labels
"C20" N045.35.24.810 W122.35.57.835 gate_labels
"C21" N045.35.24.055 W122.35.58.470 gate_labels
"C22" N045.35.24.640 W122.35.58.080 gate_labels
"C23" N045.35.24.345 W122.35.58.345 gate_labels
"D1" N045.35.25.770 W122.35.35.990 gate_labels
"D2" N045.35.25.125 W122.35.36.775 gate_labels
"D3" N045.35.26.580 W122.35.38.285 gate_labels
"D4" N045.35.25.955 W122.35.38.915 gate_labels
"D5" N045.35.27.165 W122.35.39.525 gate_labels
"D6" N045.35.27.000 W122.35.41.560 gate_labels
"D7" N045.35.27.955 W122.35.41.950 gate_labels
"D8" N045.35.27.785 W122.35.43.665 gate_labels
"D9" N045.35.28.795 W122.35.44.015 gate_labels
"D10" N045.35.28.825 W122.35.46.290 gate_labels
"D11" N045.35.29.765 W122.35.46.560 gate_labels
"D12" N045.35.29.250 W122.35.47.535 gate_labels
"D13" N045.35.30.135 W122.35.47.410 gate_labels
"D14" N045.35.29.485 W122.35.47.900 gate_labels
"D15" N045.35.29.800 W122.35.47.650 gate_labels
"E1" N045.35.24.240 W122.35.32.850 gate_labels
"E2" N045.35.23.760 W122.35.30.440 gate_labels
"E3" N45.35.22.725 W122.35.27.740 gate_labels
"E4" N045.35.22.095 W122.35.25.94 gate_labels
