; KPAE Labels
"16R" N047.55.40.235 W122.17.11.703 twyrwy_labels
"34L" N047.53.19.645 W122.17.07.627 twyrwy_labels
"34R" N047.53.20.177 W122.16.19.204 twyrwy_labels
"16L" N047.55.40.892 W122.16.20.920 twyrwy_labels
"AA" N047.55.20.025 W122.17.06.863 twyrwy_labels
"K1" N047.55.14.450 W122.17.16.088 twyrwy_labels
"A1" N047.55.17.122 W122.17.06.551 twyrwy_labels
"A" N047.55.02.134 W122.17.01.518 twyrwy_labels
"A2" N047.54.53.453 W122.17.04.965 twyrwy_labels
"A3" N047.54.46.196 W122.17.05.089 twyrwy_labels
"A4" N047.54.39.368 W122.17.05.563 twyrwy_labels
"A" N047.54.35.707 W122.17.00.753 twyrwy_labels
"B" N047.54.39.367 W122.16.52.039 twyrwy_labels
"A5" N047.54.32.347 W122.17.04.993 twyrwy_labels
"C" N047.54.30.926 W122.16.56.980 twyrwy_labels
"J" N047.54.26.839 W122.16.56.707 twyrwy_labels
"D" N047.54.23.990 W122.16.48.786 twyrwy_labels
"C" N047.54.25.225 W122.16.48.178 twyrwy_labels
"D" N047.54.14.775 W122.16.34.709 twyrwy_labels
"A6" N047.54.21.810 W122.17.04.547 twyrwy_labels
"K6" N047.54.16.932 W122.17.11.841 twyrwy_labels
"A" N047.54.16.032 W122.17.00.118 twyrwy_labels
"K7" N047.54.07.247 W122.17.12.962 twyrwy_labels
"A7" N047.54.07.361 W122.17.04.635 twyrwy_labels
"A8" N047.54.04.049 W122.17.03.802 twyrwy_labels
"A9" N047.53.52.331 W122.17.04.336 twyrwy_labels
"A10" N047.53.48.467 W122.17.04.643 twyrwy_labels
"A" N047.53.57.536 W122.16.59.923 twyrwy_labels
"E" N047.54.07.433 W122.16.54.940 twyrwy_labels
"D1" N047.54.21.431 W122.16.43.841 twyrwy_labels
"D" N047.54.06.664 W122.16.22.293 twyrwy_labels
"G3" N047.54.08.249 W122.16.19.571 twyrwy_labels
"L" N047.54.07.696 W122.16.23.405 twyrwy_labels
"L1" N047.54.08.640 W122.16.22.369 twyrwy_labels
"G" N047.54.03.550 W122.16.20.363 twyrwy_labels
"G1" N047.54.22.805 W122.16.19.750 twyrwy_labels
"G2" N047.54.20.025 W122.16.19.676 twyrwy_labels
"G4" N047.53.59.325 W122.16.19.410 twyrwy_labels
"G5" N047.53.55.556 W122.16.19.541 twyrwy_labels
"G" N047.54.13.632 W122.16.20.487 twyrwy_labels
"F5" N047.53.54.064 W122.16.16.758 twyrwy_labels
"F3" N047.54.08.172 W122.16.17.137 twyrwy_labels
"F2" N047.54.19.992 W122.16.17.263 twyrwy_labels
"F1" N047.54.22.541 W122.16.17.376 twyrwy_labels
"F" N047.54.18.496 W122.16.16.091 twyrwy_labels
"F" N047.54.06.179 W122.16.15.980 twyrwy_labels
"F" N047.53.56.280 W122.16.15.850 twyrwy_labels
"D2" N047.54.07.662 W122.16.25.793 twyrwy_labels
"E" N047.54.07.618 W122.16.30.985 twyrwy_labels
"SRAMP" N047.54.03.462 W122.16.47.649 ramp_labels
"WRAMP" N047.54.13.023 W122.16.53.120 ramp_labels
"ERAMP" N047.54.12.507 W122.16.14.296 ramp_labels
"Central" N047.54.17.845 W122.16.36.552 ramp_labels
"NRAMP" N047.54.35.416 W122.16.24.251 ramp_labels
"Boeing" N047.54.57.795 W122.16.50.672 ramp_labels
"Boeing" N047.55.09.781 W122.17.28.937 ramp_labels
"Boeing" N047.53.52.720 W122.16.51.900 ramp_labels
"ATP" N047.54.26.415 W122.16.25.880 building_labels
"Terminal" N047.54.31.861 W122.16.42.167 building_labels
"TWR" N047.54.33.071 W122.16.45.126 building_labels
