;KRNT Labels
"Boeing Ramp" N047.29.25.938 W122.12.34.275 RampLabels
"34" N047.29.04.146 W122.12.52.320 TaxiwayLabel
"16" N047.30.04.805 W122.13.01.872 TaxiwayLabel
"A" N047.29.57.362 W122.13.04.807 TaxiwayLabel
"A1" N047.30.00.074 W122.13.03.305 TaxiwayLabel
"A2" N047.29.54.986 W122.13.02.541 TaxiwayLabel
"A" N047.29.48.533 W122.13.03.592 TaxiwayLabel
"A3" N047.29.42.987 W122.13.01.154 TaxiwayLabel
"B3" N047.29.42.563 W122.12.54.669 TaxiwayLabel
"B" N047.29.38.756 W122.12.53.135 TaxiwayLabel
"A" N047.29.38.520 W122.13.01.982 TaxiwayLabel
"A4" N047.29.34.835 W122.12.59.824 TaxiwayLabel
"B4" N047.29.35.828 W122.12.53.705 TaxiwayLabel
"A5" N047.29.30.276 W122.12.59.393 TaxiwayLabel
"B5" N047.29.30.354 W122.12.54.235 TaxiwayLabel
"B" N047.29.25.924 W122.12.51.019 TaxiwayLabel
"A" N047.29.26.984 W122.13.00.469 TaxiwayLabel
"A6" N047.29.22.894 W122.12.57.883 TaxiwayLabel
"B6" N047.29.21.157 W122.12.51.566 TaxiwayLabel
"B" N047.29.16.486 W122.12.48.836 TaxiwayLabel
"A" N047.29.16.900 W122.12.59.041 TaxiwayLabel
"B7" N047.29.10.812 W122.12.49.899 TaxiwayLabel
"A7" N047.29.10.369 W122.12.57.422 TaxiwayLabel
"Boeing Factory" N047.29.52.581 W122.12.32.709 BuildingTerminalLabels
"Ace Aviation" N047.29.11.765 W122.12.37.747 BuildingTerminalLabels
"Seaplane Base" N047.30.03.744 W122.13.09.403 BuildingTerminalLabels
"Rainier" N047.29.47.583 W122.13.14.435 BuildingTerminalLabels
"BEFA" N047.29.51.258 W122.13.15.328 BuildingTerminalLabels
"Northwest Seaplanes" N047.29.58.290 W122.13.25.090 BuildingTerminalLabels
"Pro-Flight" N047.29.39.000 W122.13.12.960 BuildingTerminalLabels
"TWR" N047.29.30.385 W122.13.04.672 BuildingTerminalLabels
